lutetia parisiorum
parisiorum lutetia
lycabettus mons
mons lycabettus
macra come
come macra
macron teichos
teichos macron
maenariae insulae
insulae maenariae
maeotis palus
palus maeotis
maesia silva
silva maesia
magnum promontorium
promontorium magnum
magnum prom
prom magnum
magnus portus
portus magnus
magnus sinus
sinus magnus
magorum sinus
sinus magorum
malaei colon
colon malaei
maliacus sinus
sinus maliacus
malichi insulae
insulae malichi
mampsarus mons
mons mampsarus
manarmanis portus
portus manarmanis
mandrus mons
mons mandrus
manius sinus
sinus manius
manlianus saltus
saltus manlianus
mantiana lacus
lacus mantiana
marciana silva
silva marciana
marcius mons
mons marcius
marianus mons
mons marianus
marithi montes
montes marithi
maritima insula
insula maritima
maritimae stationes
stationes maritimae
massalioticum ostium
ostium massalioticum
massicus mons
mons massicus
materense oppidum
oppidum materense
matieni montes
montes matieni
matinus mons
mons matinus
mediae murus
murus mediae
mediterraneum mare
mare mediterraneum
megiddo vallis
vallis megiddo
melantii scopuli
scopuli melantii
melas sinus
sinus melas
menelai portus
portus menelai
menesthei portus
portus menesthei
mercutrii prom
prom mercutrii
mesanites sinus
sinus mesanites
mesche mons
mons mesche
messeniacus sinus
sinus messeniacus
metagonites prom
prom metagonites
metapinum ostium
ostium metapinum
metina insula
insula metina
miletopolitis lacus
lacus miletopolitis
minas sabbattha
sabbattha minas
minervae promontorium
promontorium minervae
mithridatis regio
regio mithridatis
moeris lacus
lacus moeris
monoeci portus
portus monoeci
mons aureus
aureus mons
mons balbus
balbus mons
mons brisiacus
brisiacus mons
mons mariorum
mariorum mons
mons sacer
sacer mons
mons seleucus
seleucus mons
mortuum mare
mare mortuum
moscha portus
portus moscha
moschici montes
montes moschici
munimentum trajani
trajani munimentum
murus caesaris
caesaris murus
myrtoum mare
mare myrtoum
napetinus sinus
sinus napetinus
narbo martius
martius narbo
neae patrae
patrae neae
nebrodes mons
mons nebrodes
nemorensis lacus
lacus nemorensis
nemus dianae
dianae nemus
neoptolemi turris
turris neoptolemi
neptunius mons
mons neptunius
nervicanus tractus
tractus nervicanus
nessonis lacus
lacus nessonis
niconis dromus
dromus niconis
nigritis lacus
lacus nigritis
nili paludes
paludes nili
nisaei campi
campi nisaei
nivaria ins
ins nivaria
norba caesariana
caesariana norba
nova augusta
augusta nova
novantarum promontorium
promontorium novantarum
novem craris
craris novem
novem pagi
pagi novem
novum comum
comum novum
nuba lacus
lacus nuba
numidia nova
nova numidia
numidicus sinus
sinus numidicus
oceanus septentrionalis
septentrionalis oceanus
ochus mons
mons ochus
ocra mons
mons ocra
oenotrides insulae
insulae oenotrides
oeum cerameicum
cerameicum oeum
oeum deceleicum
deceleicum oeum
olbianus sinus
sinus olbianus
oleastrum prom
prom oleastrum
olynta ins
ins olynta
ombrios ins
ins ombrios
onoba aestuaria
aestuaria onoba
ophiusa ins
ins ophiusa
oppidum novum
novum oppidum
opuntius sinus
sinus opuntius
oretum germanorum
germanorum oretum
ornithon polis
polis ornithon
ossigi laconicum
laconicum ossigi
oxia palus
palus oxia
oxii montes
montes oxii
paestanus sinus
sinus paestanus
pagasaeus sinus
sinus pagasaeus
palicorum lacus
lacus palicorum
palindromus promontorium
promontorium palindromus
pallas lacus
lacus pallas
palorum portus
portus palorum
pambotis lacus
lacus pambotis
pamphylium mare
mare pamphylium
panachaicus mons
mons panachaicus
pandovi regio
regio pandovi
panti sinus
sinus panti
pappua mons
mons pappua
paragon sinus
sinus paragon
parnassus mons
mons parnassus
parsici montes
montes parsici
partheni parthini
parthini partheni
parthenium mare
mare parthenium
patrocli insula
insula patrocli
pausilypus mons
mons pausilypus
pax julia
julia pax
pegaseum stagnum
stagnum pegaseum
peirene fons
fons peirene
pelodes portus
portus pelodes
penninae alpes
alpes penninae
pentelicus mons
mons pentelicus
peos artemidos
